id;block;typ;stt;de;suchvarianten;en;ru;fa;fa_vokal;k_en;k_ru;k_fa;anmerkung
A035;A;hart;1;Habakuk;Habakuk;Habakkuk;Аввакум;حبقوق;;3;3;3;
A036;A;hart;1;Zephanja;Zephanja|Zefanja;Zephaniah;Софония;صفنیا;;3;3;3;
A037;A;hart;1;Haggai;Haggai;Haggai;Аггей;حجی;;3;3;3;
A038;A;hart;1;Sacharja;Sacharja;Zechariah;Захария;زکریا;;3;3;3;
A039;A;hart;1;Maleachi;Maleachi;Malachi;Малахия;ملاکی;;3;3;3;
A040;A;hart;0;Matthäus;Matthäus;Matthew;Матфея;متی;;3;3;3;
A041;A;hart;0;Markus;Markus;Mark;Марка;مرقس;;3;3;3;
A042;A;hart;0;Lukas;Lukas;Luke;Луки;لوقا;;3;3;3;
A043;A;weich;0;Johannes;Johannes;John;Иоанна;یوحنا;;3;3;3;WEICH: Johannesevangelium vs. Johannesbriefe vs. Johannes der Taeufer. Kontext noetig.
A044;A;hart;0;Apostelgeschichte;Apostelgeschichte;Acts;Деяния;اعمال رسولان;;3;3;3;
A045;A;hart;0;Römer;Römerbrief|Römer;Romans;Римлянам;رومیان;;3;3;3;
A046;A;hart;1;1. Korinther;1. Korinther|1 Korinther;1 Corinthians;1-е Коринфянам;اول قرنتیان;;3;3;3;
A047;A;hart;1;2. Korinther;2. Korinther|2 Korinther;2 Corinthians;2-е Коринфянам;دوم قرنتیان;;3;3;3;
A048;A;hart;1;Galater;Galaterbrief|Galater;Galatians;Галатам;غلاطیان;;3;3;3;
A049;A;hart;1;Epheser;Epheserbrief|Epheser;Ephesians;Ефесянам;افسسیان;;3;3;3;
A050;A;hart;1;Philipper;Philipperbrief|Philipper;Philippians;Филиппийцам;فیلیپیان;;3;3;3;Nicht mit Philemon verwechseln.
A051;A;hart;1;Kolosser;Kolosserbrief|Kolosser;Colossians;Колоссянам;کولسیان;;3;3;3;
A052;A;hart;1;1. Thessalonicher;1. Thessalonicher|1 Thessalonicher;1 Thessalonians;1-е Фессалоникийцам;اول تسالونیکیان;;3;3;3;
A053;A;hart;1;2. Thessalonicher;2. Thessalonicher|2 Thessalonicher;2 Thessalonians;2-е Фессалоникийцам;دوم تسالونیکیان;;3;3;3;
A054;A;hart;1;1. Timotheus;1. Timotheus|1 Timotheus;1 Timothy;1-е Тимофею;اول تیموتائوس;;3;3;2;
A055;A;hart;1;2. Timotheus;2. Timotheus|2 Timotheus;2 Timothy;2-е Тимофею;دوم تیموتائوس;;3;3;2;
A056;A;hart;1;Titus;Titusbrief|Titus;Titus;Титу;تیطس;;3;3;3;
A057;A;hart;1;Philemon;Philemon;Philemon;Филимону;فلیمون;;3;3;3;
A058;A;hart;0;Hebräer;Hebräerbrief|Hebräer;Hebrews;Евреям;عبرانیان;;3;3;3;Adventistisch zentral wegen Heiligtumslehre.
A059;A;hart;0;Jakobus;Jakobusbrief|Jakobus;James;Иакова;یعقوب;;3;3;3;FALLSTRICK: EN James sieht wie ein anderer Name aus. FA Yaqub = zugleich Jakob im AT.
A060;A;hart;0;1. Petrus;1. Petrus|1 Petrus;1 Peter;1-е Петра;اول پطرس;;3;3;3;
A061;A;hart;0;2. Petrus;2. Petrus|2 Petrus;2 Peter;2-е Петра;دوم پطرس;;3;3;3;
A062;A;hart;0;1. Johannes;1. Johannes|1 Johannes;1 John;1-е Иоанна;اول یوحنا;;3;3;3;
A063;A;hart;0;2. Johannes;2. Johannes|2 Johannes;2 John;2-е Иоанна;دوم یوحنا;;3;3;3;
A064;A;hart;0;3. Johannes;3. Johannes|3 Johannes;3 John;3-е Иоанна;سوم یوحنا;;3;3;3;
A065;A;hart;1;Judas;Brief des Judas|Judasbrief;Jude;Иуды;یهودا;;3;3;3;FALLSTRICK: EN unterscheidet Jude (Brief) von Judas (Iskariot). DE nicht.
A066;A;weich;0;Offenbarung;Offenbarung des Johannes|Offenbarung;Revelation;Откровение;مکاشفه;;3;3;3;WEICH: Offenbarung als Buch vs. Offenbarung als Sachbegriff. Siehe C022.
C001;C;hart;0;Gnade;Gnaden|Gnade;grace;благодать;فیض;;3;3;3;RU: milost = Barmherzigkeit, nicht charis. Trennung wichtig.
C002;C;hart;0;Barmherzigkeit;Barmherzigkeit|barmherzig;mercy;милость;رحمت;;3;3;3;
C003;C;hart;0;Glaube;Glaubens|Glauben|Glaube;faith;вера;ایمان;;3;3;3;
C004;C;weich;0;Liebe;Gotten Liebe|Gotter Liebe|Gottes Liebe|Gottem Liebe|Gotte Liebe|lieben|Liebe;love;любовь;محبت;;3;3;3;FA: mohabbat ist die biblische Liebe, eshgh ist romantisch. Nicht verwechseln.
C005;C;hart;0;Hoffnung;Hoffnung|hoffen;hope;надежда;امید;;3;3;3;
C006;C;hart;0;Rechtfertigung;Rechtfertigung|gerechtfertigt|rechtfertigen;justification;оправдание;عادل شمرده شدن;عادِل شِمُرده شُدَن;3;3;3;FA: Verbalkonstruktion. Konsistenz mit C Gerechtigkeit pruefen.
C007;C;hart;0;Heiligung;Heiligung|geheiligt|heiligen;sanctification;освящение;تقدیس;;3;3;2;
C008;C;hart;0;Erlösung;Erlösung|erlösen|erlöst;redemption;искупление;فدیه;;3;3;2;Loskauf. Abgrenzen von Heil = Rettung.
C009;C;weich;0;Heil;das Heil|Heils;salvation;спасение;نجات;;3;3;3;WEICH: Heil ist im Deutschen auch Grusswort und Adjektiv. Nur substantivisch erzwingen.
C010;C;hart;0;Erlöser;Erlöser;Redeemer;Искупитель;نجات‌دهنده;;3;3;3;Gleicher FA-Terminus wie Heiland.
C011;C;hart;0;Heiland;Heiland;Savior;Спаситель;نجات‌دهنده;;3;3;3;
C012;C;hart;0;Sünde;sündigen|Sünden|Sünde;sin;грех;گناه;;3;3;3;
C013;C;hart;1;Sündenfall;Fall des Menschen|Sündenfall;the Fall;грехопадение;سقوط انسان;;3;3;2;
C014;C;hart;0;Buße;Bußfertigkeit|Buße;repentance;покаяние;توبه;;3;3;3;
C015;C;weich;0;Umkehr;umkehren|Umkehr;repentance;покаяние;بازگشت به خدا;;3;3;2;Gleicher Zielterminus wie Busse.
C016;C;hart;0;Bekehrung;Bekehrung|bekehren|bekehrt;conversion;обращение;توبه و بازگشت به سوی خدا;توبه وَ بازگَشت به سوی خُدا;3;3;3;
C017;C;hart;0;Vergebung;Vergebung|vergeben;forgiveness;прощение;آمرزش;;3;3;2;
C018;C;hart;0;Versöhnung;Versöhnung|versöhnen|versöhnt;reconciliation;примирение;آشتی;;3;3;2;Nicht mit Suehne verwechseln. Versoehnung = Beziehungswiederherstellung.
C019;C;hart;1;Sühne;Sühnopfer|Sühnung|sühnen|Sühne;atonement;умилостивление;کفاره;;3;2;2;RU: iskuplenie wird oft synonym benutzt. In RU-Adventliteratur pruefen.
C020;C;hart;1;Fürbitte;Fürbitten|Fürbitte;intercession;ходатайство;شفاعت;;3;3;2;FALLSTRICK RU: nicht zastupnichestvo. Das ist orthodox fuer Heiligenanrufung und adventistisch problematisch.
C021;C;hart;0;Mittler;Mittlerdienst|Mittleramt|Mittler;mediator;посредник;واسطه;;3;3;2;
C022;C;hart;1;Hohepriester;hohepriesterlich|Hohepriester;high priest;первосвященник;رئیس کهنه;;3;3;2;
C023;C;hart;1;Priestertum;Priestertum;priesthood;священство;کهانت;;3;3;2;
C024;C;weich;0;Opfer;Opferung|opfern|Opfer;sacrifice;жертва;قربانی;;3;3;3;WEICH: Opfer als Gabe vs. Opfer als Geschaedigter. EN victim vs. sacrifice.
C025;C;hart;0;Blut Christi;Blut des Lammes|Blut Christi;blood of Christ;Кровь Христа;خون مسیح;;3;3;2;
C026;C;hart;0;Kreuz;Kreuzes|Kreuz;cross;крест;صلیب;;3;3;3;
C027;C;hart;0;Kreuzigung;Kreuzigung|gekreuzigt|kreuzigen;crucifixion;распятие;مصلوب شدن;;3;3;2;
C028;C;weich;0;Bund;Bündnis|Bundes|Bund;covenant;завет;عهد;;3;3;3;WEICH: RU zavet auch fuer Testament (Vetkhiy Zavet = AT). Kontext.
C029;C;hart;0;Verheißung;Verheißung|verheißen;promise;обетование;وعده;;3;3;3;RU: obetovanie theologisch, obeshchanie alltaeglich.
C030;C;weich;0;Offenbarung;Offenbarung|offenbaren|offenbart;revelation;откровение;مکاشفه;;3;3;3;WEICH: Bibelbuch (A066) vs. Sachbegriff.
C031;C;hart;0;Inspiration;Inspiration|inspiriert;inspiration;богодухновенность;الهام;;3;2;2;RU: bogodukhnovennost fuer Schriftinspiration, vdokhnovenie ist allgemeine Eingebung.
C032;C;hart;0;Heilige Schrift;Heiligen Schrift|Heiliger Schrift|Heiliges Schrift|Heiligem Schrift|Heilige Schrift|die Schrift|Schriften;Scripture;Священное Писание;کتاب‌مقدس;;3;3;3;
C033;C;hart;0;Evangelium;Evangeliums|Evangelium;gospel;Евангелие;انجیل;;3;3;3;
C034;C;hart;0;Prophetie;prophetisch|Weissagung|Prophetie;prophecy;пророчество;نبوت;;3;3;3;
C035;C;hart;0;Prophet;Propheten|Prophet;prophet;пророк;نبی;;3;3;3;FA: payambar ist islamisch konnotiert, nabi biblisch neutraler.
C036;C;hart;0;Apostel;Apostel;apostle;апостол;رسول;;3;3;3;
C037;C;hart;0;Jünger;Jüngerschaft|Jünger;disciple;ученик;شاگرد;;3;3;3;
C038;C;weich;0;Gemeinde;Gemeinden|Gemeinde;congregation;церковь;کلیسا;;2;3;3;DE Gemeinde meint die Ortsgemeinde. EN church doppeldeutig, congregation praeziser.
C039;C;hart;0;Leib Christi;Leib Christi;body of Christ;тело Христово;بدن مسیح;;3;3;2;
C040;C;hart;0;Taufe;getauft|taufen|Taufe;baptism;крещение;تعمید;;3;3;3;
C041;C;hart;1;Abendmahl;Herrenmahl|Abendmahl;Lord's Supper;Вечеря Господня;عشای ربانی;;3;3;2;
C042;C;hart;1;Fußwaschung;Fußwaschung;foot washing;омовение ног;شستن پاها;شُستن پاها;3;3;3;
C043;C;hart;0;Gebet;Gebete|Gebet|beten;prayer;молитва;دعا;;3;3;3;
C044;C;hart;0;Anbetung;Anbetung|anbeten;worship;поклонение;پرستش;;3;3;3;
C045;C;hart;0;Lobpreis;Lobpreis|preisen|loben;praise;хвала;ستایش;;3;3;3;
C046;C;hart;0;Segen;gesegnet|segnen|Segen;blessing;благословение;برکت;;3;3;3;
C047;C;hart;0;Heiliger Geist;Heiligen Geist|Heiliger Geist|Heiliges Geist|Heiligem Geist|Heilige Geist|Geist Gottes;Holy Spirit;Святой Дух;روح‌القدس;;3;3;3;Muss vor dem Einzeleintrag Geist matchen (laengster Treffer zuerst).
C048;C;hart;1;Dreieinigkeit;Dreieinigkeit|dreieinig|Trinität;Godhead;Троица;تثلیث;;2;3;2;Adventistisch oft Godhead statt Trinity. Entscheidung noetig.
C049;C;hart;0;Vorsehung;Vorsehung;providence;провидение;مشیت الهی;مَشیَّتِ اِلٰهی;3;3;3;FA: taqdir ist islamisch als Vorherbestimmung besetzt, mashiyat neutraler. Pruefen.
C050;C;hart;0;Erwählung;auserwählt|Erwählung|erwählt;election;избрание;برگزیدگی;بَرگُزیدِگی;3;3;3;
C051;C;weich;0;Berufung;Berufung|berufen;calling;призвание;دعوت;;3;3;2;WEICH: Berufung auch juristisch und beruflich.
C052;C;hart;0;Nachfolge;nachfolgen|Nachfolge;discipleship;ученичество;پیروی از مسیح;;3;2;2;
C053;C;hart;0;Auferstehung;Auferstehung|auferstanden|auferstehen;resurrection;воскресение;رستاخیز;;3;3;3;FA: qiyamat ist islamisch als Juengster Tag besetzt, rastakhiz neutraler.
C054;C;hart;0;Himmelfahrt;Himmelfahrt;ascension;вознесение;صعود;;3;3;2;
C055;C;hart;0;Wiederkunft;zweiten Kommen|zweiter Kommen|zweites Kommen|zweitem Kommen|zweite Kommen|Wiederkommen|Wiederkunft;Second Coming;Второе пришествие;بازگشت مسیح;;3;3;2;Zentralbegriff. Muss sitzen.
C056;C;hart;0;Ewiges Leben;ewigen Leben|ewiger Leben|ewiges Leben|ewigem Leben|ewige Leben;eternal life;вечная жизнь;حیات جاودان;;3;3;2;
C057;C;hart;0;Ewigkeit;Ewigkeit;eternity;вечность;ابدیت;;3;3;3;
C058;C;hart;0;Reich Gottes;Königreich Gottes|Reich Gottes|Himmelreich;kingdom of God;Царство Божье;ملکوت خدا;;3;3;3;
C059;C;weich;0;Gericht;das Gericht|Gerichts;judgment;суд;داوری;;3;3;3;WEICH: Gericht auch als Speise und als Behoerde. Nur theologisch erzwingen.
C060;C;hart;0;Jüngstes Gericht;jüngsten Gericht|jüngster Gericht|jüngstes Gericht|jüngstem Gericht|jüngste Gericht|Endgericht;Last Judgment;последний суд;داوری نهایی;;3;2;2;RU: Strashnyy sud ist orthodox gaengig, adventistisch eher posledniy sud.
C061;C;hart;0;Hölle;Hölle;hell;ад;جهنم;;3;3;3;Adventistisch theologisch heikel (kein ewiges Feuer). Sachlich uebersetzen, Lehre klaert die Predigt.
C062;C;hart;1;Feuersee;Feuersee;lake of fire;озеро огненное;دریاچه آتش;;3;3;2;
C063;C;hart;0;Satan;der Widersacher|Satan;Satan;сатана;شیطان;;3;3;3;
C064;C;hart;0;Teufel;Teufel;devil;дьявол;ابلیس;;3;3;2;
C065;C;hart;0;Engel;Engel;angel;ангел;فرشته;;3;3;3;
C066;C;hart;0;Dämon;dämonisch|Dämonen|Dämon;demon;бес;دیو;;3;3;2;RU: bes ist der biblische Terminus, demon literarisch.
C067;C;hart;1;Heiligtum;Heiligtums|Heiligtum;sanctuary;святилище;قدس;;3;3;2;
C068;C;hart;1;Allerheiligste;Allerheiligstes|Allerheiligste;Most Holy Place;Святое святых;قدس‌الاقداس;;3;3;2;
C069;C;hart;1;Bundeslade;Bundeslade|die Lade;ark of the covenant;ковчег завета;صندوق عهد;;3;3;2;
C070;C;hart;1;Stiftshütte;Stiftshütte;tabernacle;скиния;خیمه عبادت;;3;3;2;
C071;C;hart;0;Vorbild;Vorbild und Erfüllung|typologisch|Typus;type and antitype;прообраз;الگو;اُلگو;2;3;3;Fachbegriff der Typologie, nicht die Alltagsbedeutung Vorbild.
C072;C;hart;0;Gesetz;Gesetzes|Gesetz;law;закон;شریعت;شَریعَت;3;3;3;FA: shariat ist islamisch stark besetzt. Alternative qanun pruefen.
C073;C;hart;0;Zehn Gebote;Zehn Gebote|Dekalog;Ten Commandments;Десять заповедей;ده فرمان;;3;3;3;
C074;C;hart;0;Gebot;Gebote|Gebot;commandment;заповедь;فرمان;;3;3;3;
C075;C;hart;0;Gehorsam;gehorchen|Gehorsam;obedience;послушание;اطاعت;;3;3;3;
C076;C;weich;0;Werke;Werkgerechtigkeit|gute Werke|Werke;works;дела;اعمال;;3;3;2;WEICH: Werke auch als Fabrik oder Kunstwerk.
C077;C;weich;0;Sabbat;Sabbats|Sabbat;Sabbath;суббота;روز سبت;;3;3;2;WEICH: RU subbota ist zugleich der Wochentag Samstag. Kontext entscheidet.
C078;C;hart;0;Ruhetag;Ruhetag;day of rest;день покоя;روز استراحت;;3;3;2;
C079;C;weich;0;Zeugnis;bezeugen|Zeugnis|Zeuge;testimony;свидетельство;شهادت;;3;3;3;WEICH: Zeugnis auch als Schulzeugnis.
C080;C;hart;0;Mission;missionarisch|Mission;mission;миссия;مأموریت;;3;3;2;
C081;C;hart;0;Verkündigung;Verkündigung|verkündigen;proclamation;проповедь;موعظه;;3;3;3;
C082;C;hart;1;Seelsorge;seelsorgerlich|Seelsorge;pastoral care;душепопечение;مراقبت شبانی;مُراقِبَتِ شَبانی;3;2;3;RU pruefen, dushepopechenie ist teils orthodox konnotiert.
C083;C;weich;0;Gemeinschaft;Gemeinschaft;fellowship;общение;مشارکت;;3;3;2;
C084;C;hart;0;Demut;demütig|Demut;humility;смирение;فروتنی;;3;3;3;
C085;C;hart;0;Sanftmut;sanftmütig|Sanftmut;meekness;кротость;ملایمت;;3;3;2;
C086;C;hart;1;Langmut;langmütig|Langmut;longsuffering;долготерпение;بردباری;;3;3;2;
C087;C;hart;0;Versuchung;versucht werden|Versuchung;temptation;искушение;وسوسه;;3;3;3;
C088;C;hart;1;Anfechtung;angefochten|Anfechtung;trial;испытание;آزمایش;;2;3;2;EN: trial oder temptation je nach Kontext. Kein sauberes Aequivalent.
C089;C;hart;0;Leiden;Leiden;suffering;страдание;رنج;;3;3;3;
C090;C;hart;0;Trost;trösten|Tröster|Trost;comfort;утешение;تسلی;;3;3;2;Troester als Bezeichnung des Heiligen Geistes (Paraklet) gesondert beachten.
C091;C;weich;0;Frieden;Frieden|Friede;peace;мир;آرامش;;3;3;3;FALLSTRICK RU: mir heisst zugleich Welt. Kontext entscheidet.
C092;C;hart;0;Freude;sich freuen|Freude;joy;радость;شادی;;3;3;3;
C093;C;hart;0;Bekenntnis;Bekenntnis|bekennen;confession;исповедание;اعتراف;;3;3;2;
C094;C;hart;0;Gewissen;Gewissen;conscience;совесть;وجدان;;3;3;3;
C095;C;weich;0;Herz;Herzen|Herz;heart;сердце;دل;;3;3;3;Biblisch Sitz des Willens, nicht nur des Gefuehls.
C096;C;hart;0;Gleichnis;Gleichnisse|Gleichnis;parable;притча;مَثَل;;3;3;2;RU pritcha, nicht sravnenie. Kollidiert mit dem Buchnamen Sprueche.
C097;C;hart;1;Bergpredigt;Bergpredigt;Sermon on the Mount;Нагорная проповедь;موعظه سر کوه;;3;3;2;
C098;C;hart;0;Menschensohn;Menschensohn;Son of Man;Сын Человеческий;پسر انسان;;3;3;2;
C099;C;hart;0;Sohn Gottes;Sohn Gottes|Gottessohn;Son of God;Сын Божий;پسر خدا;;3;3;3;
C100;C;hart;0;Messias;messianisch|Messias;Messiah;Мессия;مسیح موعود;مَسیح موعود;3;3;3;FA: masih allein heisst bereits Christus. Moud praezisiert den erwarteten Messias.
C101;C;hart;0;Christus;Christus|Christi;Christ;Христос;مسیح;;3;3;3;
C102;C;weich;0;Herr;dem Herrn|des Herrn|der Herr;the Lord;Господь;خداوند;;3;3;3;FALLSTRICK RU: Gospod (Gott) vs. gospodin (Anrede Herr Mueller). Verwechslung ist peinlich.
C103;C;hart;1;Lamm Gottes;Lamm Gottes;Lamb of God;Агнец Божий;بره خدا;;3;3;2;RU: Agnets liturgisch, nicht yagnenok.
C104;C;weich;0;Herrlichkeit;verherrlichen|Herrlichkeit;glory;слава;جلال;;3;3;2;RU slava zugleich Ruhm.
C105;C;weich;0;Fleisch;fleischlich|Fleisch;flesh;плоть;جسم;;3;3;2;FALLSTRICK RU: nicht myaso. Theologisch sarx, nicht Nahrungsmittel. Weich, weil echtes Fleisch vorkommen kann.
C106;C;weich;0;Geist;der Geist|geistlich;spirit;дух;روح;;3;3;3;WEICH: Geist auch als Verstand oder Gespenst. Siehe Heiliger Geist.
C107;C;hart;0;Seele;Seelen|Seele;soul;душа;جان;;3;3;2;Adventistisch zentral wegen Ganzheitlichkeit des Menschen.
C108;C;hart;0;Ebenbild Gottes;Ebenbild Gottes|Bild Gottes;image of God;образ Божий;صورت خدا;;3;3;2;
C109;C;hart;0;Wort Gottes;Wort Gottes;Word of God;Слово Божье;کلام خدا;;3;3;3;
C110;C;hart;0;Schöpfung;Schöpfung;creation;творение;آفرینش;;3;3;2;RU tvorenie theologisch, sozdanie technisch.
C111;C;hart;0;Schöpfer;Schöpfer;Creator;Творец;آفریدگار;;3;3;2;
C112;C;hart;0;Paradies;Paradies;paradise;рай;بهشت;;3;3;3;
C113;C;hart;1;Sintflut;Sintflut;the Flood;потоп;طوفان نوح;;3;3;2;
C114;C;hart;0;Wiedergeburt;wiedergeboren|Wiedergeburt;new birth;новое рождение;تولد تازه;;3;3;2;Nicht mit Reinkarnation verwechseln lassen.
C115;C;hart;0;Nächstenliebe;Nächstenliebe|der Nächste;love for one's neighbor;любовь к ближнему;محبت به همسایه;;3;3;2;
C116;C;hart;1;Feindesliebe;Feindesliebe;love for enemies;любовь к врагам;محبت به دشمنان;;3;3;2;
C117;C;hart;1;Gottesfurcht;Ehrfurcht vor Gott|Gottesfurcht;fear of God;страх Божий;ترس خدا;;3;3;2;Ehrfurcht, nicht Angst.
C118;C;hart;1;Erweckung;Erweckung;revival;пробуждение;بیداری روحانی;بیداریِ روحانی;3;3;3;
C119;C;hart;1;Geistesgaben;Geistesgaben|Gnadengaben|Charismen;spiritual gifts;духовные дары;عطایای روحانی;عَطایایِ روحانی;3;3;3;
C120;C;hart;0;Heiden;Heidenvölker|die Völker|Heiden;Gentiles;язычники;امت‌ها;اُمَّت ها;3;3;3;Bei Paulus zentral. EN Gentiles, nicht heathens.
C121;C;hart;1;Pharisäer;Pharisäer;Pharisees;фарисеи;فریسیان;;3;3;2;
C122;C;hart;1;Sadduzäer;Sadduzäer;Sadducees;саддукеи;صدوقیان;صَدوّقیان;3;3;3;
C123;C;hart;1;Schriftgelehrte;Schriftgelehrter|Schriftgelehrte;scribes;книжники;کاتبان;;3;3;2;
C124;C;hart;1;Zöllner;Zöllner;tax collector;мытарь;باجگیر;;3;3;2;FALLSTRICK RU: mytar ist biblisch, sborshchik nalogov klingt nach Finanzamt.
C125;C;hart;1;Sündenbock;Sündenbock;scapegoat;козёл отпущения;بز طلیقه;بُز ظَلیقه;3;3;3;Adventistisch relevant wegen Asasel und Heiligtumslehre.
C126;C;hart;1;Passa;Passafest|Passah|Passa;Passover;Пасха;عید فصح;;3;2;2;FALLSTRICK RU: Paskha heisst zugleich Ostern.
C127;C;hart;1;Laubhüttenfest;Laubhüttenfest|Sukkot;Feast of Tabernacles;праздник кущей;عید خیمه‌ها;عیدِ خِیمِه ها;3;3;3;
C128;C;hart;1;Versöhnungstag;Versöhnungstag|Jom Kippur;Day of Atonement;День очищения;روز کفاره;;3;2;2;Adventistisch zentral wegen der 1844-Typologie.
C129;C;hart;0;Tempel;Tempel;temple;храм;معبد;;3;3;3;
C130;C;hart;0;Synagoge;Synagoge;synagogue;синагога;کنیسه;;3;3;2;
C131;C;hart;1;Hoher Rat;Hohen Rat|Hoher Rat|Hohes Rat|Hohem Rat|Synedrium|Hohe Rat;Sanhedrin;синедрион;شورای عالی یهود;شوُرایِ عالیِ یَهود;3;3;3;
C132;C;hart;1;Tora;Tora;Torah;Тора;تورات;;3;3;3;
C133;C;hart;0;Beschneidung;Beschneidung|beschnitten;circumcision;обрезание;ختنه;;3;3;3;
