id;block;typ;stt;de;suchvarianten;en;ru;fa;fa_vokal;k_en;k_ru;k_fa;anmerkung;es;k_es;pt;k_pt;hr;k_hr;fr;k_fr
A011;A;hart;0;1. Könige;ersten Buch der Könige|erster Buch der Könige|erstes Buch der Könige|erstem Buch der Könige|erste Buch der Könige|1. Könige|1 Könige;1 Kings;3-я Царств;اول پادشاهان;;3;3;3;FALLSTRICK RU: 1. Koenige = 3-ja Zarstv, NICHT 1-ja. Haeufigster Bibelstellenfehler.;1 Reyes;3;1 Reis;3;1. Kralj;3;1 Rois;3
A012;A;hart;0;2. Könige;zweiten Buch der Könige|zweiter Buch der Könige|zweites Buch der Könige|zweitem Buch der Könige|zweite Buch der Könige|2. Könige|2 Könige;2 Kings;4-я Царств;دوم پادشاهان;;3;3;3;FALLSTRICK RU: 2. Koenige = 4-ja Zarstv.;2 Reyes;3;2 Reis;3;2. Kralj;3;2 Rois;3
A013;A;hart;1;1. Chronik;1. Chronik|1 Chronik;1 Chronicles;1-я Паралипоменон;اول تواریخ;;3;3;3;;1 Crónicas;3;1 Crônicas;3;1. Krônike;3;1 Chroniques;3
A014;A;hart;1;2. Chronik;2. Chronik|2 Chronik;2 Chronicles;2-я Паралипоменон;دوم تواریخ;;3;3;3;;2 Crónicas;3;2 Crônicas;3;2. Krônike;3;2 Chroniques;3
A015;A;hart;1;Esra;Esra;Ezra;Ездра;عزرا;;3;3;3;;Esdras;3;Esdras;3;Ezra;3;Esdras;3
A016;A;hart;1;Nehemia;Nehemia;Nehemiah;Неемия;نحمیا;;3;3;3;;Nehemías;3;Neemias;3;Nehemija;3;Néhémie;3
A017;A;hart;0;Esther;Esther|Ester;Esther;Есфирь;استر;;3;3;3;;Ester;3;Ester;3;Ester;3;Esther;3
A018;A;hart;0;Hiob;Hiob|Ijob;Job;Иов;ایوب;;3;3;3;;Job;3;Jó;3;Job;3;Job;3
A019;A;hart;0;Psalmen;Psalmen|Psalter|Psalm;Psalms;Псалтирь;مزامیر;;3;3;3;RU: Buch = Psaltir, Einzelpsalm = Psalom.;Salmos;3;Salmos;3;Psalmi;3;Psaumes;3
A020;A;weich;1;Sprüche;Buch der Sprüche|Sprichwörter|Sprüche;Proverbs;Притчи;امثال;;3;3;3;WEICH: RU Pritchi heisst zugleich Gleichnisse. Siehe C072.;Proverbios;3;Provérbios;3;Mudrosti;3;Proverbes;3
A021;A;weich;1;Prediger;Prediger|Kohelet;Ecclesiastes;Екклесиаст;جامعه;;3;3;3;WEICH: Prediger ist im Deutschen doppeldeutig (Buch vs. Person). Siehe D028.;Eclesiastés;3;Eclesiastes;3;Propovitelj;3;Ecclésiastes;3
A022;A;hart;1;Hohelied;Hoheslied|Hohelied;Song of Songs;Песнь Песней;غزل غزلها;;3;3;3;;Cantares;3;Cânticos;3;Pjevačevka;3;Cantique des Cantiques;3
A023;A;hart;0;Jesaja;Jesaja;Isaiah;Исаия;اشعیا;;3;3;3;;Isaías;3;Isaías;3;Isaija;3;Ésaïe;3
A024;A;hart;0;Jeremia;Jeremia;Jeremiah;Иеремия;ارمیا;;3;3;3;;Jeremías;3;Jeremias;3;Jeremija;3;Jérémie;3
A025;A;hart;1;Klagelieder;Klagelieder;Lamentations;Плач Иеремии;مراثی ارمیا;;3;3;3;;Lamentaciones;3;Lamentações;3;Lamentacije;3;Lamentations;3
A026;A;hart;1;Hesekiel;Hesekiel|Ezechiel;Ezekiel;Иезекииль;حزقیال;;3;3;3;Schlachter 2000 schreibt Hesekiel, katholisch Ezechiel.;Ezequiel;3;Ezequiel;3;Ezikijil;3;Ézéchiel;3
A027;A;hart;0;Daniel;Daniel;Daniel;Даниил;دانیال;;3;3;3;;Daniel;3;Daniel;3;Danijel;3;Daniel;3
A028;A;hart;1;Hosea;Hosea;Hosea;Осия;هوشع;;3;3;3;;Oseas;3;Oseias;3;Hosea;3;Osée;3
A029;A;hart;1;Joel;Joel;Joel;Иоиль;یوئیل;;3;3;3;;Joel;3;Joel;3;Joel;3;Joël;3
A030;A;hart;1;Amos;Amos;Amos;Амос;عاموس;;3;3;3;;Amós;3;Amós;3;Amos;3;Amos;3
A031;A;hart;1;Obadja;Obadja;Obadiah;Авдий;عوبدیا;;3;3;3;;Abdías;3;Abdias;3;Obadija;3;Abdias;3
A032;A;hart;0;Jona;Jona;Jonah;Иона;یونس;;3;3;3;FA Yunes ist zugleich der islamische Name. Unproblematisch, aber bewusst.;Jonás;3;Jonas;3;Jona;3;Jonas;3
A033;A;hart;1;Micha;Micha;Micah;Михей;میکاه;;3;3;3;;Miqueas;3;Miqueias;3;Mika;3;Michée;3
A034;A;hart;1;Nahum;Nahum;Nahum;Наум;ناحوم;;3;3;3;;Nahú;3;Naum;3;Nahum;3;Nahum;3
A035;A;hart;1;Habakuk;Habakuk;Habakkuk;Аввакум;حبقوق;;3;3;3;;Habacuc;3;Habacuque;3;Habakuk;3;Habacuc;3
A036;A;hart;1;Zephanja;Zephanja|Zefanja;Zephaniah;Софония;صفنیا;;3;3;3;;Sofonías;3;Sofonias;3;Sofonija;3;Sophonie;3
A037;A;hart;1;Haggai;Haggai;Haggai;Аггей;حجی;;3;3;3;;Hageo;3;Ageu;3;Hagaj;3;Aggée;3
A038;A;hart;1;Sacharja;Sacharja;Zechariah;Захария;زکریا;;3;3;3;;Zacarías;3;Zacarias;3;Zakarija;3;Zacharie;3
A039;A;hart;1;Maleachi;Maleachi;Malachi;Малахия;ملاکی;;3;3;3;;Malaquías;3;Malaquias;3;Malakija;3;Malachie;3
A040;A;hart;0;Matthäus;Matthäus;Matthew;Матфея;متی;;3;3;3;;Mateo;3;Mateus;3;Matej;3;Matthieu;3
A041;A;hart;0;Markus;Markus;Mark;Марка;مرقس;;3;3;3;;Marcos;3;Marcos;3;Marko;3;Marc;3
A042;A;hart;0;Lukas;Lukas;Luke;Луки;لوقا;;3;3;3;;Lucas;3;Lucas;3;Luka;3;Luc;3
A043;A;weich;0;Johannes;Johannes;John;Иоанна;یوحنا;;3;3;3;WEICH: Johannesevangelium vs. Johannesbriefe vs. Johannes der Taeufer. Kontext noetig.;Juan;3;João;3;Ivan;3;Jean;3
A044;A;hart;0;Apostelgeschichte;Apostelgeschichte;Acts;Деяния;اعمال رسولان;;3;3;3;;Hechos;3;Atos;3;Djinjave;3;Actes;3
A045;A;hart;0;Römer;Römerbrief|Römer;Romans;Римлянам;رومیان;;3;3;3;;Romanos;3;Romanos;3;Rimljani;3;Romains;3
A046;A;hart;1;1. Korinther;1. Korinther|1 Korinther;1 Corinthians;1-е Коринфянам;اول قرنتیان;;3;3;3;;1 Corintios;3;1 Coríntios;3;1. Korinćani;3;1 Corinthiens;3
A047;A;hart;1;2. Korinther;2. Korinther|2 Korinther;2 Corinthians;2-е Коринфянам;دوم قرنتیان;;3;3;3;;2 Corintios;3;2 Coríntios;3;2. Korinćani;3;2 Corinthiens;3
A048;A;hart;1;Galater;Galaterbrief|Galater;Galatians;Галатам;غلاطیان;;3;3;3;;Gálatas;3;Gálatas;3;Galatljani;3;Galates;3
A049;A;hart;1;Epheser;Epheserbrief|Epheser;Ephesians;Ефесянам;افسسیان;;3;3;3;;Efesios;3;Efésios;3;Efesijama;2;Éphésiens;3
A050;A;hart;1;Philipper;Philipperbrief|Philipper;Philippians;Филиппийцам;فیلیپیان;;3;3;3;Nicht mit Philemon verwechseln.;Filipenses;3;Filipenses;3;Filipijcima;2;Philippiens;3
A051;A;hart;1;Kolosser;Kolosserbrief|Kolosser;Colossians;Колоссянам;کولسیان;;3;3;3;;Colosenses;3;Colossenses;3;Kolosnjima;2;Colossiens;3
A052;A;hart;1;1. Thessalonicher;1. Thessalonicher|1 Thessalonicher;1 Thessalonians;1-е Фессалоникийцам;اول تسالونیکیان;;3;3;3;;1 Tesalonicenses;3;1 Tessalonicenses;3;1. Tesaloničarima;2;1 Thessaloniciens;3
A053;A;hart;1;2. Thessalonicher;2. Thessalonicher|2 Thessalonicher;2 Thessalonians;2-е Фессалоникийцам;دوم تسالونیکیان;;3;3;3;;2 Tesalonicenses;3;2 Tessalonicenses;3;2. Tesaloničarima;2;2 Thessaloniciens;3
A054;A;hart;1;1. Timotheus;1. Timotheus|1 Timotheus;1 Timothy;1-е Тимофею;اول تیموتائوس;;3;3;2;;1 Timoteo;3;1 Timóteo;3;1. Timoteju;2;1 Timothée;3
A055;A;hart;1;2. Timotheus;2. Timotheus|2 Timotheus;2 Timothy;2-е Тимофею;دوم تیموتائوس;;3;3;2;;2 Timoteo;3;2 Timóteo;3;2. Timoteju;2;2 Timothée;3
A056;A;hart;1;Titus;Titusbrief|Titus;Titus;Титу;تیطس;;3;3;3;;Tito;3;Tito;3;Titu;2;Tite;3
A057;A;hart;1;Philemon;Philemon;Philemon;Филимону;فلیمون;;3;3;3;;Filemón;3;Filemão;3;Filemon;3;Philémon;3
A058;A;hart;0;Hebräer;Hebräerbrief|Hebräer;Hebrews;Евреям;عبرانیان;;3;3;3;Adventistisch zentral wegen Heiligtumslehre.;Hebreos;3;Hebreus;3;Hebreje;3;Hébreux;3
A059;A;hart;0;Jakobus;Jakobusbrief|Jakobus;James;Иакова;یعقوب;;3;3;3;FALLSTRICK: EN James sieht wie ein anderer Name aus. FA Yaqub = zugleich Jakob im AT.;Santiago;3;Tiago;3;Jakov;3;Jacques;3
A060;A;hart;0;1. Petrus;1. Petrus|1 Petrus;1 Peter;1-е Петра;اول پطرس;;3;3;3;;1 Pedro;3;1 Pedro;3;1. Petrova;3;1 Pierre;3
A061;A;hart;0;2. Petrus;2. Petrus|2 Petrus;2 Peter;2-е Петра;دوم پطرس;;3;3;3;;2 Pedro;3;2 Pedro;3;2. Petrova;3;2 Pierre;3
A062;A;hart;0;1. Johannes;1. Johannes|1 Johannes;1 John;1-е Иоанна;اول یوحنا;;3;3;3;;1 Juan;3;1 João;3;1. Jovanovo;3;1 Jean;3
A063;A;hart;0;2. Johannes;2. Johannes|2 Johannes;2 John;2-е Иоанна;دوم یوحنا;;3;3;3;;2 Juan;3;2 João;3;2. Jovanovo;3;2 Jean;3
A064;A;hart;0;3. Johannes;3. Johannes|3 Johannes;3 John;3-е Иоанна;سوم یوحنا;;3;3;3;;3 Juan;3;3 João;3;3. Jovanovo;3;3 Jean;3
A065;A;hart;1;Judas;Brief des Judas|Judasbrief;Jude;Иуды;یهودا;;3;3;3;FALLSTRICK: EN unterscheidet Jude (Brief) von Judas (Iskariot). DE nicht.;Judas;3;Judas;3;Judin;2;Judas;3
A066;A;weich;0;Offenbarung;Offenbarung des Johannes|Offenbarung;Revelation;Откровение;مکاشفه;;3;3;3;WEICH: Offenbarung als Buch vs. Offenbarung als Sachbegriff. Siehe C022.;Apocalipsis;3;Apocalipse;3;Otkrivenje;2;Apocalypse;3
C001;C;hart;0;Gnade;Gnaden|Gnade;grace;благодать;فیض;;3;3;3;RU: milost = Barmherzigkeit, nicht charis. Trennung wichtig.;gracia;3;graça;3;milost;2;grâce;3
C002;C;hart;0;Barmherzigkeit;Barmherzigkeit|barmherzig;mercy;милость;رحمت;;3;3;3;;misericordia;2;misericórdia;2;milost;2;miséricorde;3
C003;C;hart;0;Glaube;Glaubens|Glauben|Glaube;faith;вера;ایمان;;3;3;3;;fe;3;fé;3;vjera;2;foi;3
C004;C;weich;0;Liebe;Gotten Liebe|Gotter Liebe|Gottes Liebe|Gottem Liebe|Gotte Liebe|lieben|Liebe;love;любовь;محبت;;3;3;3;FA: mohabbat ist die biblische Liebe, eshgh ist romantisch. Nicht verwechseln.;amor;3;amor;3;ljubav;2;amour;3
C005;C;hart;0;Hoffnung;Hoffnung|hoffen;hope;надежда;امید;;3;3;3;;esperanza;3;esperança;3;nada;2;espérance;3
C006;C;hart;0;Rechtfertigung;Rechtfertigung|gerechtfertigt|rechtfertigen;justification;оправдание;عادل شمرده شدن;عادِل شِمُرده شُدَن;3;3;3;FA: Verbalkonstruktion. Konsistenz mit C Gerechtigkeit pruefen.;justificación;3;justificação;3;opravdanje;2;justification;3
C007;C;hart;0;Heiligung;Heiligung|geheiligt|heiligen;sanctification;освящение;تقدیس;;3;3;2;;santificación;3;santificação;3;osvjetinje;2;sanctification;3
C008;C;hart;0;Erlösung;Erlösung|erlösen|erlöst;redemption;искупление;فدیه;;3;3;2;Loskauf. Abgrenzen von Heil = Rettung.;redención;3;redenção;3;iskupljenje;2;rédemption;3
C009;C;weich;0;Heil;das Heil|Heils;salvation;спасение;نجات;;3;3;3;WEICH: Heil ist im Deutschen auch Grusswort und Adjektiv. Nur substantivisch erzwingen.;salvación;3;salvação;3;spasenje;2;salut;3
C010;C;hart;0;Erlöser;Erlöser;Redeemer;Искупитель;نجات‌دهنده;;3;3;3;Gleicher FA-Terminus wie Heiland.;Redentor;3;Redentor;3;Otpčuvač;1;Rédempteur;3
C011;C;hart;0;Heiland;Heiland;Savior;Спаситель;نجات‌دهنده;;3;3;3;;Salvador;3;Salvador;3;Spasitelj;2;Sauveur;3
C012;C;hart;0;Sünde;sündigen|Sünden|Sünde;sin;грех;گناه;;3;3;3;;pecado;3;pecado;3;grijeh;2;péché;3
C013;C;hart;1;Sündenfall;Fall des Menschen|Sündenfall;the Fall;грехопадение;سقوط انسان;;3;3;2;;la Caída;3;a Queda;3;Pad;2;la Chute;3
C014;C;hart;0;Buße;Bußfertigkeit|Buße;repentance;покаяние;توبه;;3;3;3;;arrepentimiento;3;arrependimento;3;pokajanje;2;repentance;3
C015;C;weich;0;Umkehr;umkehren|Umkehr;repentance;покаяние;بازگشت به خدا;;3;3;2;Gleicher Zielterminus wie Busse.;arrepentimiento;3;arrependimento;3;pokajanje;3;repentance;3
C016;C;hart;0;Bekehrung;Bekehrung|bekehren|bekehrt;conversion;обращение;توبه و بازگشت به سوی خدا;توبه وَ بازگَشت به سوی خُدا;3;3;3;;conversión;3;conversão;3;preobraženje;2;conversion;3
C017;C;hart;0;Vergebung;Vergebung|vergeben;forgiveness;прощение;آمرزش;;3;3;2;;perdón;3;perdão;3;oprostitev;3;pardon;3
C018;C;hart;0;Versöhnung;Versöhnung|versöhnen|versöhnt;reconciliation;примирение;آشتی;;3;3;2;Nicht mit Suehne verwechseln. Versoehnung = Beziehungswiederherstellung.;reconciliación;3;reconciliação;3;pomirenje;3;réconciliation;3
C019;C;hart;1;Sühne;Sühnopfer|Sühnung|sühnen|Sühne;atonement;умилостивление;کفاره;;3;2;2;RU: iskuplenie wird oft synonym benutzt. In RU-Adventliteratur pruefen.;expiación;3;expiação;3;iskupljenje;2;expiation;3
C020;C;hart;1;Fürbitte;Fürbitten|Fürbitte;intercession;ходатайство;شفاعت;;3;3;2;FALLSTRICK RU: nicht zastupnichestvo. Das ist orthodox fuer Heiligenanrufung und adventistisch problematisch.;intercesión;3;intercessão;3;pregovorstvo;2;intercession;3
C021;C;hart;0;Mittler;Mittlerdienst|Mittleramt|Mittler;mediator;посредник;واسطه;;3;3;2;;mediador;3;mediador;3;posrednik;3;médiateur;3
C022;C;hart;1;Hohepriester;hohepriesterlich|Hohepriester;high priest;первосвященник;رئیس کهنه;;3;3;2;;sacerdote sumo;3;sumo sacerdote;3;vrhovni sveštenik;3;grand prêtre;3
C023;C;hart;1;Priestertum;Priestertum;priesthood;священство;کهانت;;3;3;2;;sacerdocio;3;sacerdócio;3;svištvo;2;sacerdoce;3
C024;C;weich;0;Opfer;Opferung|opfern|Opfer;sacrifice;жертва;قربانی;;3;3;3;WEICH: Opfer als Gabe vs. Opfer als Geschaedigter. EN victim vs. sacrifice.;sacrificio;3;sacrifício;3;žrtva;3;sacrifice;3
C025;C;hart;0;Blut Christi;Blut des Lammes|Blut Christi;blood of Christ;Кровь Христа;خون مسیح;;3;3;2;;sangre de Cristo;3;sangue de Cristo;3;krv Krista;3;sang de Christ;3
C026;C;hart;0;Kreuz;Kreuzes|Kreuz;cross;крест;صلیب;;3;3;3;;cruz;3;cruz;3;krst;3;croix;3
C027;C;hart;0;Kreuzigung;Kreuzigung|gekreuzigt|kreuzigen;crucifixion;распятие;مصلوب شدن;;3;3;2;;crucifixión;3;crucifixão;3;raspinje;3;crucifixion;3
C028;C;weich;0;Bund;Bündnis|Bundes|Bund;covenant;завет;عهد;;3;3;3;WEICH: RU zavet auch fuer Testament (Vetkhiy Zavet = AT). Kontext.;pacto;3;pacto;3;zavez;3;alliance;3
C029;C;hart;0;Verheißung;Verheißung|verheißen;promise;обетование;وعده;;3;3;3;RU: obetovanie theologisch, obeshchanie alltaeglich.;promesa;3;promessa;3;oboćaj;2;promesse;3
C030;C;weich;0;Offenbarung;Offenbarung|offenbaren|offenbart;revelation;откровение;مکاشفه;;3;3;3;WEICH: Bibelbuch (A066) vs. Sachbegriff.;revelación;3;revelação;3;otkrivenje;3;révélation;3
C031;C;hart;0;Inspiration;Inspiration|inspiriert;inspiration;богодухновенность;الهام;;3;2;2;RU: bogodukhnovennost fuer Schriftinspiration, vdokhnovenie ist allgemeine Eingebung.;inspiración;3;inspiração;3;inspiracija;2;inspiration;3
C032;C;hart;0;Heilige Schrift;Heiligen Schrift|Heiliger Schrift|Heiliges Schrift|Heiligem Schrift|Heilige Schrift|die Schrift|Schriften;Scripture;Священное Писание;کتاب‌مقدس;;3;3;3;;las Escrituras;3;as Escrituras;3;Sveto pismo;3;Écritures;3
C033;C;hart;0;Evangelium;Evangeliums|Evangelium;gospel;Евангелие;انجیل;;3;3;3;;evangelio;3;evangelho;3;Jevanđelje;3;Évangile;3
C034;C;hart;0;Prophetie;prophetisch|Weissagung|Prophetie;prophecy;пророчество;نبوت;;3;3;3;;profecía;3;profecia;3;proročanstvo;3;prophétie;3
C035;C;hart;0;Prophet;Propheten|Prophet;prophet;пророк;نبی;;3;3;3;FA: payambar ist islamisch konnotiert, nabi biblisch neutraler.;profeta;3;profeta;3;prorok;3;prophète;3
C036;C;hart;0;Apostel;Apostel;apostle;апостол;رسول;;3;3;3;;apóstol;3;apóstolo;3;apostol;3;apôtre;3
C037;C;hart;0;Jünger;Jüngerschaft|Jünger;disciple;ученик;شاگرد;;3;3;3;;discípulo;3;discípulo;3;učenik;3;disciple;3
C038;C;weich;0;Gemeinde;Gemeinden|Gemeinde;congregation;церковь;کلیسا;;2;3;3;DE Gemeinde meint die Ortsgemeinde. EN church doppeldeutig, congregation praeziser.;congregación;3;congregação;3;zajednica;2;église;3
C039;C;hart;0;Leib Christi;Leib Christi;body of Christ;тело Христово;بدن مسیح;;3;3;2;;cuerpo de Cristo;3;corpo de Cristo;3;tijelo Krista;2;corps du Christ;3
C040;C;hart;0;Taufe;getauft|taufen|Taufe;baptism;крещение;تعمید;;3;3;3;;bautismo;3;batismo;3;krštenje;3;baptême;3
C041;C;hart;1;Abendmahl;Herrenmahl|Abendmahl;Lord's Supper;Вечеря Господня;عشای ربانی;;3;3;2;;Cena del Señor;3;Ceia do Senhor;3;Gospodnjeva večera;2;Sainte Cène;3
C042;C;hart;1;Fußwaschung;Fußwaschung;foot washing;омовение ног;شستن پاها;شُستن پاها;3;3;3;;lavado de pies;3;lavagem dos pés;3;pranje nogu;2;lavage des pieds;3
C043;C;hart;0;Gebet;Gebete|Gebet|beten;prayer;молитва;دعا;;3;3;3;;oración;3;oração;3;molitva;3;prière;3
C044;C;hart;0;Anbetung;Anbetung|anbeten;worship;поклонение;پرستش;;3;3;3;;adoración;3;adoração;3;adoranje;2;adoration;3
C045;C;hart;0;Lobpreis;Lobpreis|preisen|loben;praise;хвала;ستایش;;3;3;3;;alabanza;3;louvor;3;hvaljenje;2;louange;3
C046;C;hart;0;Segen;gesegnet|segnen|Segen;blessing;благословение;برکت;;3;3;3;;bendición;3;bênção;3;blagoslovlje;3;bénédiction;3
C047;C;hart;0;Heiliger Geist;Heiligen Geist|Heiliger Geist|Heiliges Geist|Heiligem Geist|Heilige Geist|Geist Gottes;Holy Spirit;Святой Дух;روح‌القدس;;3;3;3;Muss vor dem Einzeleintrag Geist matchen (laengster Treffer zuerst).;Espíritu Santo;3;Espírito Santo;3;Sveti Duh;3;Saint-Esprit;3
C048;C;hart;1;Dreieinigkeit;Dreieinigkeit|dreieinig|Trinität;Godhead;Троица;تثلیث;;2;3;2;Adventistisch oft Godhead statt Trinity. Entscheidung noetig.;la Trinidad;2;a Trindade;2;Sveta Trojica;3;Trinité;3
C049;C;hart;0;Vorsehung;Vorsehung;providence;провидение;مشیت الهی;مَشیَّتِ اِلٰهی;3;3;3;FA: taqdir ist islamisch als Vorherbestimmung besetzt, mashiyat neutraler. Pruefen.;Providencia;3;Providência;3;Providencija;2;providence;3
C050;C;hart;0;Erwählung;auserwählt|Erwählung|erwählt;election;избрание;برگزیدگی;بَرگُزیدِگی;3;3;3;;elección;3;eleição;3;izabranije;2;élection;3
C051;C;weich;0;Berufung;Berufung|berufen;calling;призвание;دعوت;;3;3;2;WEICH: Berufung auch juristisch und beruflich.;llamado;3;chamado;3;poziv;3;appel;3
C052;C;hart;0;Nachfolge;nachfolgen|Nachfolge;discipleship;ученичество;پیروی از مسیح;;3;2;2;;discipulado;3;discipulado;3;učenichestvo;2;discipulat;3
C053;C;hart;0;Auferstehung;Auferstehung|auferstanden|auferstehen;resurrection;воскресение;رستاخیز;;3;3;3;FA: qiyamat ist islamisch als Juengster Tag besetzt, rastakhiz neutraler.;resurrección;3;ressurreição;3;uskrsnuće;3;résurrection;3
C054;C;hart;0;Himmelfahrt;Himmelfahrt;ascension;вознесение;صعود;;3;3;2;;ascensión;3;ascensão;3;uznesenje;3;ascension;3
C055;C;hart;0;Wiederkunft;zweiten Kommen|zweiter Kommen|zweites Kommen|zweitem Kommen|zweite Kommen|Wiederkommen|Wiederkunft;Second Coming;Второе пришествие;بازگشت مسیح;;3;3;2;Zentralbegriff. Muss sitzen.;Segunda Venida;3;Segunda Vinda;3;Drugo dojavljanje;2;Second Retour;3
C056;C;hart;0;Ewiges Leben;ewigen Leben|ewiger Leben|ewiges Leben|ewigem Leben|ewige Leben;eternal life;вечная жизнь;حیات جاودان;;3;3;2;;vida eterna;3;vida eterna;3;vječni život;3;vie éternelle;3
C057;C;hart;0;Ewigkeit;Ewigkeit;eternity;вечность;ابدیت;;3;3;3;;eternidad;3;eternidade;3;vječnost;3;éternité;3
C058;C;hart;0;Reich Gottes;Königreich Gottes|Reich Gottes|Himmelreich;kingdom of God;Царство Божье;ملکوت خدا;;3;3;3;;Reino de Dios;3;Reino de Deus;3;Carstvo Božje;3;Royaume de Dieu;3
C059;C;weich;0;Gericht;das Gericht|Gerichts;judgment;суд;داوری;;3;3;3;WEICH: Gericht auch als Speise und als Behoerde. Nur theologisch erzwingen.;juicio;3;julgamento;3;sudba;2;jugement;3
C060;C;hart;0;Jüngstes Gericht;jüngsten Gericht|jüngster Gericht|jüngstes Gericht|jüngstem Gericht|jüngste Gericht|Endgericht;Last Judgment;последний суд;داوری نهایی;;3;2;2;RU: Strashnyy sud ist orthodox gaengig, adventistisch eher posledniy sud.;Juicio Final;3;Julgamento Final;3;Sudnji dan;3;Jugement dernier;3
C061;C;hart;0;Hölle;Hölle;hell;ад;جهنم;;3;3;3;Adventistisch theologisch heikel (kein ewiges Feuer). Sachlich uebersetzen, Lehre klaert die Predigt.;infierno;3;inferno;3;pakao;3;enfer;3
C062;C;hart;1;Feuersee;Feuersee;lake of fire;озеро огненное;دریاچه آتش;;3;3;2;;lago de fuego;3;lago de fogo;3;jezero vatre;3;lac de feu;3
C063;C;hart;0;Satan;der Widersacher|Satan;Satan;сатана;شیطان;;3;3;3;;Satanás;3;Satanás;3;Satan;3;Satan;3
C064;C;hart;0;Teufel;Teufel;devil;дьявол;ابلیس;;3;3;2;;diablo;3;diabo;3;đavol;3;diable;3
C065;C;hart;0;Engel;Engel;angel;ангел;فرشته;;3;3;3;;ángel;3;anjo;3;anđeo;3;ange;3
C066;C;hart;0;Dämon;dämonisch|Dämonen|Dämon;demon;бес;دیو;;3;3;2;RU: bes ist der biblische Terminus, demon literarisch.;demonio;3;demônio;3;demoni;2;démon;3
C067;C;hart;1;Heiligtum;Heiligtums|Heiligtum;sanctuary;святилище;قدس;;3;3;2;;santuario;3;santuário;3;svetište;3;sanctuaire;3
C068;C;hart;1;Allerheiligste;Allerheiligstes|Allerheiligste;Most Holy Place;Святое святых;قدس‌الاقداس;;3;3;2;;Lugar Santísimo;3;Lugar Santíssimo;3;Svetitelj;2;Lieu Saint des Saints;3
C069;C;hart;1;Bundeslade;Bundeslade|die Lade;ark of the covenant;ковчег завета;صندوق عهد;;3;3;2;;Arca de la Alianza;3;Arca da Aliança;3;kovčeg zavjeta;3;arche de l'alliance;3
C070;C;hart;1;Stiftshütte;Stiftshütte;tabernacle;скиния;خیمه عبادت;;3;3;2;;tabernáculo;3;tabernáculo;3;šadrvan;2;tabernacle;3
