de;haeufigkeit;streuung;verdacht;prompt_rang;kapitel_anzahl;kapitel
Zion;202;0.37;;3;74;1. Mose 8|2. Samuel 4|5. Mose 4|Hesekiel 35|Hesekiel 40|Jeremia 1|Jeremia 13|Jeremia 26|Jeremia 3|Jeremia 30|Jeremia 31|Jeremia 39|Jeremia 5|Jeremia 50|Jeremia 51|Jeremia 6|Jeremia 8|Jesaja 1|Jesaja 10|Jesaja 11|Jesaja 19|Jesaja 2|Jesaja 23|Jesaja 24|Jesaja 27|Jesaja 28|Jesaja 3|Jesaja 30|Jesaja 31|Jesaja 33|Jesaja 35|Jesaja 37|Jesaja 38|Jesaja 40|Jesaja 42|Jesaja 46|Jesaja 49|Jesaja 51|Jesaja 52|Jesaja 60
Absalom;202;0.07;;3;15;1. Samuel 15|1. Samuel 2|2. Samuel 11|2. Samuel 12|2. Samuel 13|2. Samuel 14|2. Samuel 15|2. Samuel 16|2. Samuel 18|2. Samuel 19|2. Samuel 2|2. Samuel 3|Psalmen 1|Psalmen 61|Psalmen 62
Isaak;196;0.19;;2;37;1. Mose 12|1. Mose 17|1. Mose 20|1. Mose 21|1. Mose 23|1. Mose 24|1. Mose 25|1. Mose 27|1. Mose 28|1. Mose 31|1. Mose 32|1. Mose 35|1. Mose 37|1. Mose 45|1. Mose 47|1. Mose 49|1. Mose 50|1. Mose 8|2. Mose 12|2. Mose 19|2. Mose 3|2. Mose 32|2. Mose 33|2. Mose 6|3. Mose 27|4. Mose 13|4. Mose 32|5. Mose 1|5. Mose 29|5. Mose 30|5. Mose 33|5. Mose 6|5. Mose 9|Hesekiel 37|Josua 1|Josua 24|Psalmen 133
Ephraim;187;0.26;;2;49;1. Mose 41|1. Mose 47|1. Mose 49|1. Samuel 1|1. Samuel 14|1. Samuel 9|2. Samuel 13|2. Samuel 15|2. Samuel 18|2. Samuel 19|2. Samuel 2|2. Samuel 20|4. Mose 1|4. Mose 13|4. Mose 25|4. Mose 26|5. Mose 26|5. Mose 33|Hesekiel 48|Hosea 10|Hosea 13|Hosea 4|Hosea 7|Jeremia 3|Jeremia 31|Jeremia 50|Jeremia 6|Jesaja 10|Jesaja 11|Jesaja 16|Jesaja 24|Jesaja 27|Jesaja 28|Jesaja 7|Josua 1|Josua 14|Josua 16|Josua 17|Josua 19|Josua 20
Esau;181;0.09;;2;17;1. Mose 25|1. Mose 27|1. Mose 28|1. Mose 32|1. Mose 34|1. Mose 35|1. Mose 37|1. Mose 49|1. Mose 8|1. Samuel 14|4. Mose 20|5. Mose 1|5. Mose 26|Jeremia 49|Josua 24|Maleachi 1|Psalmen 82
Jakobs;174;0.37;;2;64;1. Mose 23|1. Mose 27|1. Mose 28|1. Mose 29|1. Mose 30|1. Mose 31|1. Mose 32|1. Mose 34|1. Mose 35|1. Mose 37|1. Mose 42|1. Mose 43|1. Mose 45|1. Mose 47|1. Mose 48|1. Mose 49|1. Mose 50|2. Mose 1|2. Mose 19|2. Mose 3|2. Mose 4|2. Samuel 22|2. Samuel 7|4. Mose 1|4. Mose 20|4. Mose 23|5. Mose 1|5. Mose 33|Hesekiel 21|Hesekiel 40|Hesekiel 47|Hosea 13|Jeremia 10|Jeremia 30|Jeremia 34|Jeremia 36|Jeremia 51|Jesaja 1|Jesaja 10|Jesaja 14
Joab;170;0.1;;2;17;1. Samuel 31|2. Samuel 10|2. Samuel 11|2. Samuel 12|2. Samuel 13|2. Samuel 14|2. Samuel 15|2. Samuel 18|2. Samuel 19|2. Samuel 2|2. Samuel 20|2. Samuel 24|2. Samuel 3|2. Samuel 4|2. Samuel 8|Josua 16|Psalmen 61
Jonathan;166;0.12;;2;20;1. Samuel 12|1. Samuel 14|1. Samuel 17|1. Samuel 18|1. Samuel 20|1. Samuel 21|1. Samuel 23|1. Samuel 25|1. Samuel 31|2. Samuel 1|2. Samuel 15|2. Samuel 16|2. Samuel 18|2. Samuel 21|2. Samuel 24|2. Samuel 4|2. Samuel 8|Jeremia 37|Jeremia 39|Nehemia 11
Assyrien;165;0.24;;2;40;3. Mose 19|5. Mose 28|5. Mose 4|Hesekiel 16|Hesekiel 23|Hesekiel 27|Hesekiel 29|Hesekiel 30|Hesekiel 32|Hesekiel 37|Hosea 10|Hosea 13|Hosea 7|Jeremia 2|Jeremia 50|Jeremia 6|Jesaja 10|Jesaja 11|Jesaja 13|Jesaja 14|Jesaja 16|Jesaja 19|Jesaja 21|Jesaja 23|Jesaja 27|Jesaja 31|Jesaja 33|Jesaja 35|Jesaja 37|Jesaja 38|Jesaja 5|Jesaja 56|Jesaja 7|Jesaja 8|Nahum 1|Nahum 2|Nehemia 9|Sacharja 1|Sacharja 11|Sacharja 6
Gold;160;0.48;;2;77;1. Mose 14|1. Mose 2|1. Mose 24|1. Mose 44|2. Mose 20|2. Mose 24|2. Mose 25|2. Mose 26|2. Mose 27|2. Mose 28|2. Mose 29|2. Mose 3|2. Mose 31|2. Mose 32|2. Mose 34|2. Mose 36|2. Mose 38|2. Mose 39|2. Samuel 13|2. Samuel 21|2. Samuel 24|2. Samuel 8|3. Mose 7|4. Mose 22|4. Mose 31|4. Mose 32|4. Mose 7|5. Mose 18|5. Mose 29|5. Mose 7|5. Mose 9|Habakuk 2|Haggai 1|Hesekiel 16|Hesekiel 27|Hesekiel 38|Hesekiel 6|Hiob 23|Hiob 27|Hiob 29
Salomo;157;0.3;;2;47;1. Mose 48|1. Samuel 2|1. Samuel 23|2. Samuel 13|2. Samuel 21|2. Samuel 3|2. Samuel 5|2. Samuel 7|3. Mose 26|5. Mose 18|Haggai 1|Haggai 2|Hesekiel 16|Hesekiel 21|Hesekiel 26|Hesekiel 27|Hesekiel 40|Hiob 1|Hiob 6|Hohelied 1|Hohelied 2|Hohelied 4|Hohelied 6|Hohelied 8|Jeremia 23|Jeremia 52|Jesaja 21|Maleachi 3|Nehemia 12|Nehemia 13|Psalmen 116|Psalmen 119|Psalmen 128|Psalmen 133|Psalmen 45|Psalmen 51|Psalmen 72|Sacharja 5|Sprüche 10|Sprüche 16
Moab;149;0.27;;2;40;1. Mose 14|1. Mose 20|1. Mose 37|1. Mose 49|1. Samuel 12|1. Samuel 14|1. Samuel 21|2. Mose 15|2. Samuel 24|2. Samuel 8|4. Mose 20|4. Mose 22|4. Mose 25|4. Mose 31|4. Mose 33|5. Mose 1|5. Mose 29|5. Mose 32|5. Mose 33|Hesekiel 24|Hesekiel 26|Hesekiel 6|Jeremia 26|Jeremia 41|Jeremia 48|Jeremia 49|Jesaja 11|Jesaja 14|Jesaja 16|Jesaja 2|Jesaja 25|Maleachi 1|Nehemia 13|Nehemia 2|Nehemia 9|Psalmen 106|Psalmen 107|Psalmen 61|Psalmen 82|Sacharja 3
Christus;143;0.6;;2;86;1. Mose 12|1. Mose 14|1. Mose 15|1. Mose 3|1. Mose 32|1. Mose 4|1. Samuel 2|2. Mose 12|2. Mose 21|2. Mose 23|2. Samuel 7|3. Mose 13|3. Mose 16|3. Mose 20|3. Mose 23|3. Mose 3|3. Mose 9|4. Mose 31|5. Mose 22|5. Mose 28|5. Mose 29|5. Mose 32|5. Mose 34|Hesekiel 36|Hesekiel 37|Hesekiel 38|Hesekiel 40|Hesekiel 44|Hesekiel 8|Hiob 18|Hiob 20|Hiob 42|Hosea 10|Hosea 4|Jeremia 31|Jeremia 5|Jesaja 11|Jesaja 13|Jesaja 2|Jesaja 23
Abram;141;0.06;;2;9;1. Mose 11|1. Mose 12|1. Mose 14|1. Mose 15|1. Mose 17|1. Samuel 26|1. Samuel 4|4. Mose 13|Nehemia 9
Edom;134;0.25;;2;33;1. Mose 14|1. Mose 25|1. Mose 32|1. Mose 35|1. Mose 37|1. Samuel 14|2. Mose 15|2. Samuel 8|4. Mose 20|4. Mose 33|4. Mose 34|Hesekiel 26|Hesekiel 32|Hesekiel 35|Hesekiel 36|Hiob 2|Jeremia 26|Jeremia 41|Jeremia 49|Jesaja 11|Jesaja 21|Jesaja 25|Jesaja 33|Jesaja 35|Jesaja 62|Joel 4|Josua 14|Maleachi 1|Psalmen 107|Psalmen 58|Psalmen 61|Psalmen 82|Sacharja 3
Benjamin;125;0.37;;2;46;1. Mose 35|1. Mose 42|1. Mose 43|1. Mose 44|1. Mose 45|1. Mose 47|1. Mose 49|1. Samuel 10|1. Samuel 31|1. Samuel 7|1. Samuel 9|2. Mose 1|2. Samuel 16|2. Samuel 19|2. Samuel 2|2. Samuel 21|2. Samuel 24|2. Samuel 3|2. Samuel 4|2. Samuel 5|2. Samuel 8|4. Mose 1|4. Mose 13|4. Mose 2|4. Mose 25|4. Mose 34|5. Mose 26|5. Mose 33|Hesekiel 45|Hesekiel 48|Hosea 4|Jeremia 17|Jeremia 19|Jeremia 32|Jeremia 34|Jeremia 37|Josua 19|Josua 21|Nehemia 11|Nehemia 12
Abner;125;0.07;;2;9;1. Samuel 14|1. Samuel 17|1. Samuel 20|1. Samuel 26|1. Samuel 31|2. Samuel 16|2. Samuel 2|2. Samuel 3|2. Samuel 4
Tyrus;124;0.2;;2;25;1. Mose 31|1. Samuel 17|2. Samuel 11|2. Samuel 24|2. Samuel 4|2. Samuel 7|Hesekiel 1|Hesekiel 21|Hesekiel 24|Hesekiel 26|Hesekiel 27|Hesekiel 29|Jeremia 26|Jeremia 46|Jesaja 14|Jesaja 23|Joel 2|Josua 12|Josua 19|Maleachi 3|Nehemia 3|Psalmen 45|Psalmen 82|Sacharja 8|Sacharja 9
Laban;115;0.12;;2;14;1. Mose 24|1. Mose 25|1. Mose 27|1. Mose 28|1. Mose 29|1. Mose 30|1. Mose 31|1. Mose 32|1. Mose 45|1. Mose 47|1. Samuel 20|5. Mose 1|5. Mose 26|Psalmen 61
Christi;113;0.58;;2;66;1. Mose 2|1. Mose 21|1. Mose 3|2. Samuel 7|3. Mose 13|3. Mose 17|3. Mose 23|3. Mose 3|4. Mose 19|5. Mose 16|5. Mose 32|Haggai 1|Haggai 2|Hesekiel 1|Hesekiel 20|Hesekiel 39|Hesekiel 40|Hesekiel 44|Hesekiel 45|Hesekiel 47|Hiob 27|Hosea 7|Jeremia 30|Jeremia 31|Jesaja 10|Jesaja 11|Jesaja 13|Jesaja 14|Jesaja 19|Jesaja 2|Jesaja 24|Jesaja 3|Jesaja 31|Jesaja 33|Jesaja 40|Jesaja 42|Jesaja 44|Jesaja 46|Jesaja 48|Jesaja 51
Manasse;113;0.28;;2;32;1. Mose 41|1. Mose 47|1. Mose 49|2. Samuel 15|4. Mose 1|4. Mose 13|4. Mose 2|4. Mose 25|4. Mose 26|4. Mose 32|4. Mose 34|5. Mose 2|5. Mose 26|5. Mose 29|5. Mose 33|Hesekiel 48|Jeremia 15|Jeremia 48|Jesaja 10|Jesaja 40|Josua 1|Josua 12|Josua 14|Josua 16|Josua 17|Josua 19|Josua 20|Josua 21|Josua 22|Psalmen 107|Psalmen 61|Psalmen 79
Noah;106;0.11;;2;12;1. Mose 10|1. Mose 4|1. Mose 49|1. Mose 6|1. Mose 7|1. Mose 8|1. Mose 9|4. Mose 26|4. Mose 35|Hesekiel 14|Hiob 1|Joel 2
Hiskia;106;0.13;;2;14;2. Mose 17|Jeremia 21|Jeremia 26|Jesaja 14|Jesaja 21|Jesaja 23|Jesaja 31|Jesaja 33|Jesaja 35|Jesaja 37|Jesaja 38|Jesaja 40|Maleachi 3|Nehemia 9
Bileam;106;0.09;;2;10;4. Mose 22|4. Mose 23|4. Mose 31|5. Mose 23|Hiob 42|Jesaja 2|Josua 14|Josua 24|Nehemia 12|Psalmen 106
Nebukadnezar;95;0.38;;2;36;Habakuk 2|Haggai 2|Hesekiel 16|Hesekiel 21|Hesekiel 22|Hesekiel 26|Hesekiel 27|Hesekiel 29|Hesekiel 30|Hesekiel 32|Hesekiel 35|Hesekiel 6|Jeremia 21|Jeremia 24|Jeremia 28|Jeremia 34|Jeremia 36|Jeremia 37|Jeremia 39|Jeremia 44|Jeremia 46|Jeremia 48|Jeremia 49|Jeremia 51|Jeremia 52|Jesaja 21|Jesaja 42|Jesaja 46|Jona 1|Maleachi 1|Nahum 2|Nehemia 2|Psalmen 74|Psalmen 79|Sacharja 7|Sacharja 9
Zedekia;94;0.2;;2;19;Hesekiel 12|Hesekiel 16|Hesekiel 20|Hesekiel 22|Hesekiel 33|Jeremia 1|Jeremia 21|Jeremia 24|Jeremia 26|Jeremia 28|Jeremia 30|Jeremia 31|Jeremia 32|Jeremia 34|Jeremia 36|Jeremia 37|Jeremia 39|Jeremia 46|Jeremia 52
Paulus;91;0.78;ja;2;71;1. Mose 12|1. Mose 15|1. Mose 3|1. Mose 49|1. Samuel 14|2. Mose 16|2. Mose 20|2. Mose 23|2. Mose 32|2. Mose 34|2. Mose 4|2. Mose 7|2. Samuel 22|3. Mose 17|3. Mose 20|5. Mose 13|5. Mose 22|5. Mose 29|5. Mose 30|5. Mose 32|5. Mose 6|Habakuk 1|Habakuk 2|Hesekiel 21|Hesekiel 3|Hesekiel 36|Hesekiel 37|Hiob 1|Hiob 40|Hiob 6|Hosea 13|Hosea 4|Jeremia 1|Jeremia 10|Jeremia 26|Jeremia 46|Jeremia 5|Jesaja 1|Jesaja 10|Jesaja 11
Gilead;90;0.37;;2;33;1. Mose 31|1. Mose 37|1. Samuel 10|1. Samuel 14|1. Samuel 31|2. Samuel 18|2. Samuel 2|2. Samuel 21|2. Samuel 24|2. Samuel 8|4. Mose 26|4. Mose 32|5. Mose 2|5. Mose 33|Hesekiel 47|Hohelied 4|Hohelied 6|Hosea 10|Hosea 13|Hosea 4|Hosea 7|Jeremia 21|Jeremia 46|Jeremia 50|Jeremia 8|Josua 12|Josua 14|Josua 17|Josua 20|Josua 22|Psalmen 107|Psalmen 61|Sacharja 11
Levi;88;0.33;;2;29;1. Mose 29|1. Mose 34|1. Mose 35|1. Mose 48|1. Samuel 1|2. Mose 1|2. Mose 27|2. Mose 32|2. Mose 6|2. Samuel 24|4. Mose 1|4. Mose 15|4. Mose 17|4. Mose 2|4. Mose 26|4. Mose 3|4. Mose 34|5. Mose 10|5. Mose 18|5. Mose 26|5. Mose 33|Hesekiel 40|Josua 14|Josua 2|Maleachi 2|Nehemia 11|Psalmen 106|Sacharja 13|Sacharja 6
Ruben;87;0.29;;2;25;1. Mose 29|1. Mose 35|1. Mose 37|1. Mose 42|1. Mose 44|1. Mose 45|1. Mose 47|1. Mose 48|2. Mose 1|2. Mose 6|4. Mose 1|4. Mose 13|4. Mose 15|4. Mose 25|4. Mose 32|4. Mose 9|5. Mose 10|5. Mose 2|5. Mose 33|Hesekiel 48|Jeremia 48|Josua 19|Josua 20|Josua 21|Josua 22
Wörtl;84;0.85;ja;2;71;1. Mose 19|1. Mose 27|1. Mose 30|1. Mose 31|1. Mose 41|1. Mose 48|1. Mose 6|1. Samuel 1|1. Samuel 10|1. Samuel 14|1. Samuel 15|1. Samuel 16|1. Samuel 17|1. Samuel 18|1. Samuel 2|1. Samuel 23|1. Samuel 9|2. Mose 1|2. Mose 12|2. Mose 3|2. Mose 9|2. Samuel 1|2. Samuel 13|2. Samuel 21|2. Samuel 22|2. Samuel 3|2. Samuel 4|2. Samuel 5|2. Samuel 7|2. Samuel 8|3. Mose 25|4. Mose 1|4. Mose 15|4. Mose 20|4. Mose 5|5. Mose 32|5. Mose 9|Habakuk 1|Hesekiel 16|Hiob 2
Eleasar;81;0.36;;2;29;1. Samuel 7|2. Mose 27|2. Mose 6|2. Samuel 24|2. Samuel 8|3. Mose 11|3. Mose 9|4. Mose 17|4. Mose 19|4. Mose 2|4. Mose 20|4. Mose 25|4. Mose 26|4. Mose 28|4. Mose 3|4. Mose 31|4. Mose 32|4. Mose 34|4. Mose 4|5. Mose 10|Haggai 1|Hesekiel 40|Josua 17|Josua 19|Josua 20|Josua 21|Josua 24|Nehemia 12|Psalmen 106
Bethel;78;0.38;;2;30;1. Mose 12|1. Mose 14|1. Mose 28|1. Mose 30|1. Mose 31|1. Mose 32|1. Mose 34|1. Mose 35|1. Samuel 10|1. Samuel 12|1. Samuel 2|1. Samuel 31|1. Samuel 4|1. Samuel 6|1. Samuel 7|2. Samuel 11|Hosea 10|Hosea 13|Hosea 4|Josua 12|Josua 16|Josua 17|Josua 19|Josua 6|Josua 8|Josua 9|Nehemia 11|Sacharja 6|Sacharja 7|Sacharja 8
Sodom;76;0.25;;2;19;1. Mose 10|1. Mose 14|1. Mose 15|1. Mose 18|1. Mose 19|1. Mose 20|5. Mose 29|5. Mose 32|Hesekiel 16|Hosea 10|Hosea 7|Jeremia 21|Jeremia 23|Jeremia 49|Jeremia 50|Jesaja 1|Jesaja 13|Jesaja 35|Jona 3
Rahel;75;0.2;;2;15;1. Mose 23|1. Mose 29|1. Mose 30|1. Mose 31|1. Mose 32|1. Mose 34|1. Mose 35|1. Mose 47|1. Mose 49|1. Samuel 1|1. Samuel 10|1. Samuel 18|1. Samuel 20|Jeremia 31|Psalmen 112
Ninive;74;0.12;;2;9;1. Mose 9|Hesekiel 24|Jesaja 38|Jona 1|Jona 3|Maleachi 3|Nahum 1|Nahum 2|Sacharja 3
Kommen;73;0.53;;2;39;1. Mose 40|1. Samuel 15|1. Samuel 2|2. Samuel 22|2. Samuel 7|5. Mose 4|Haggai 1|Hesekiel 42|Hosea 13|Hosea 4|Jeremia 30|Jeremia 34|Jeremia 51|Jesaja 2|Jesaja 35|Jesaja 40|Jesaja 41|Jesaja 42|Jesaja 48|Jesaja 49|Jesaja 52|Jesaja 54|Jesaja 6|Jesaja 60|Jesaja 61|Jesaja 65|Jesaja 7|Jesaja 8|Maleachi 2|Maleachi 3|Psalmen 118|Psalmen 98|Sacharja 11|Sacharja 13|Sacharja 14|Sacharja 5|Sacharja 6|Sacharja 8|Sacharja 9
Ismael;72;0.14;;2;10;1. Mose 15|1. Mose 17|1. Mose 21|1. Mose 25|1. Mose 27|1. Mose 28|1. Mose 35|1. Mose 49|Jeremia 39|Jeremia 41
Güte;70;0.63;;2;44;1. Mose 3|1. Mose 30|1. Samuel 20|1. Samuel 21|1. Samuel 31|2. Mose 31|2. Mose 33|2. Samuel 10|2. Samuel 13|2. Samuel 20|2. Samuel 3|2. Samuel 8|4. Mose 6|5. Mose 26|5. Mose 28|5. Mose 33|Hiob 15|Hiob 23|Hiob 4|Hosea 4|Jeremia 15|Jeremia 31|Jeremia 37|Jeremia 44|Jesaja 44|Jesaja 52|Jesaja 54|Jesaja 64|Josua 2|Maleachi 3|Nehemia 9|Psalmen 144|Psalmen 22|Psalmen 31|Psalmen 50|Psalmen 65|Psalmen 78|Psalmen 88|Psalmen 91|Sacharja 9
Sichem;70;0.31;;2;22;1. Mose 12|1. Mose 30|1. Mose 32|1. Mose 34|1. Mose 35|1. Mose 37|1. Mose 48|1. Mose 50|2. Mose 13|2. Samuel 11|4. Mose 26|5. Mose 12|5. Mose 26|Hosea 7|Jeremia 41|Josua 17|Josua 20|Josua 21|Josua 24|Josua 9|Psalmen 107|Psalmen 61
Jericho;67;0.46;;2;31;1. Samuel 10|2. Samuel 10|2. Samuel 11|4. Mose 25|4. Mose 26|4. Mose 31|4. Mose 33|4. Mose 34|4. Mose 35|5. Mose 32|5. Mose 33|5. Mose 4|Hosea 2|Hosea 4|Jeremia 39|Jeremia 52|Jesaja 2|Jesaja 65|Josua 10|Josua 12|Josua 14|Josua 16|Josua 19|Josua 2|Josua 20|Josua 24|Josua 4|Josua 6|Josua 8|Josua 9|Nehemia 3
Gilgal;67;0.33;;2;22;1. Samuel 10|1. Samuel 12|1. Samuel 14|1. Samuel 15|1. Samuel 18|1. Samuel 2|1. Samuel 20|1. Samuel 28|1. Samuel 7|2. Samuel 19|5. Mose 12|Hosea 10|Hosea 13|Hosea 4|Jesaja 2|Josua 10|Josua 12|Josua 14|Josua 17|Josua 4|Josua 6|Josua 9
Urija;64;0.2;;2;13;1. Samuel 18|2. Samuel 11|2. Samuel 12|2. Samuel 14|2. Samuel 16|2. Samuel 24|Jeremia 26|Jeremia 36|Jesaja 8|Nehemia 7|Psalmen 50|Sprüche 18|Sprüche 3
Lügen;60;0.62;;2;37;1. Mose 3|1. Mose 4|1. Samuel 21|5. Mose 18|Hesekiel 14|Hesekiel 22|Hiob 26|Hiob 31|Hiob 36|Hosea 13|Hosea 4|Hosea 7|Jeremia 10|Jeremia 13|Jeremia 23|Jeremia 24|Jeremia 28|Jeremia 30|Jeremia 39|Jeremia 41|Jeremia 6|Jeremia 8|Jesaja 10|Jesaja 2|Jesaja 58|Josua 2|Psalmen 119|Psalmen 144|Psalmen 38|Psalmen 40|Sacharja 13|Sacharja 9|Sprüche 10|Sprüche 14|Sprüche 18|Sprüche 20|Sprüche 6
