id;kategorie;satz;kontext;prueffokus
P29;predigt;Es war ein Flügelschlag, dass er später erkennen konnte, dass alle Verheißungen, die von Gott kamen, für ihn wahr sind.;Er war da und Jakob wusste nicht, wie ihm geschieht. Er wusste zu dem Zeitpunkt nicht, warum das jetzt ist, warum er jetzt dort kämpft.;Verheißung
P30;predigt;Deine Schöpfung, alles, was wir mit dir erleben können, alles, was wir hier sehen können, dass du das für uns bereitet hast, wie du es bereitet hast.;Vater, ich danke dir dafür, dass du hier bist, dass du bei uns bist, dass du uns so viele Dinge zeigst, dass wir jeden Tag aufs Neue so viele Dinge erleben können, wo wir sagen können, hinematow, siehe, wie schön es ist. Siehe, wie schön hast du es gemacht.;Schöpfung
T31;fallstricke;Der Geist ist willig aber das Fleisch ist schwach.;;Fleisch als sarx, nicht als Nahrungsmittel
T32;fallstricke;Jesus feierte das Passa mit seinen Jüngern im Obergemach.;;Passa gegen Ostern im Russischen
T33;fallstricke;Ich bin der gute Hirte und kenne die Meinen.;;Hirte geistlich gegen Beruf
T34;fallstricke;Ein Pharisäer und ein Zöllner gingen hinauf in den Tempel um zu beten.;;Zöllner biblisch gegen modern, plus Pharisäer
T35;fallstricke;Am Versöhnungstag wurde der Bock für Asasel in die Wüste geschickt.;;Versöhnungstag und Asasel, adventistische Kernstelle
T36;fallstricke;In 1. Könige 18 tritt Elia gegen die Baalspriester an.;;1. Könige heißt im Russischen 3. Königreiche. Härtester Bibelstellenfall
T37;fallstricke;Der Herr sprach zu Mose und Herr Schmidt saß in der ersten Reihe.;;Gospod gegen gospodin im Russischen
T38;fallstricke;Er hatte Frieden im Herzen obwohl die Welt um ihn her zerbrach.;;Frieden und Welt heißen im Russischen beide mir
T39;fallstricke;Lies das Gleichnis in den Sprüchen Salomos und vergleiche es mit den Gleichnissen Jesu.;;Pritchi ist im Russischen zugleich Sprüche und Gleichnisse
T40;fallstricke;Der Brief des Judas warnt vor falschen Lehrern, nicht Judas Iskariot schrieb ihn.;;Jude gegen Judas im Englischen
